"AmostraArq","AmostraFicha","Especie","Site","decimalLatitude","decimalLongitude","Sepal_length_cm","Sepal_width_cm","Petal_length_cm","Petal_width_cm","Data","sepal_width"
"A143","A127","Iris_virginica",3,48.329837,-65.512333,6.2,2.8,4.8,1.8,"1929-12-01",NA
"A44","A49","Iris_setosa",3,48.329837,-65.512333,5.3,3.7,1.5,0.2,"1929-12-01",NA
"A100","A100","Iris_versicolor",3,48.329837,-65.512333,5.7,2.8,4.1,1.3,"1929-12-01",NA
"A12","A3","Iris_setosa",1,48.935966,-64.840984,4.7,3.2,1.3,0.2,"1929-12-01",NA
"A131","A140","Iris_virginica",2,48.540502,-64.766512,6.9,3.1,5.4,2.1,"1930-02-13",NA
"A145","A133","Iris_virginica",3,48.329837,-65.512333,6.4,2.8,5.6,2.2,"1929-12-01",NA
"A132","A143","Iris_virginica",2,48.540502,-64.766512,5.8,2.7,5.1,1.9,"1930-02-13",NA
"A47","A7","Iris_setosa",3,48.329837,-65.512333,4.6,3.4,1.4,0.3,"1929-12-01",NA
"A150","A148","Iris_virginica",3,48.329837,-65.512333,6.5,3,5.2,2,"1929-12-01",NA
"A98","A94","Iris_versicolor",3,48.329837,-65.512333,5,2.3,3.3,1,"1929-12-01",NA
"A87","A61","Iris_versicolor",3,48.329837,-65.512333,5,2,3.5,1,"1929-12-01",NA
"A14","A9","Iris_setosa",1,48.935966,-64.840984,4.4,2.9,1.4,0.2,"1929-12-01",NA
"A63","A87","Iris_versicolor",1,48.935966,-64.840984,6.7,3.1,4.7,1.5,"1929-12-01",NA
"A141","A121","Iris_virginica",3,48.329837,-65.512333,6.9,3.2,5.7,2.3,"1929-12-01",NA
"A57","A69","Iris_versicolor",1,48.935966,-64.840984,6.2,2.2,4.5,1.5,"1929-12-01",NA
"A150","A17","Iris_virginica",1,48.935966,-64840984,NA,5.9,5.1,1.8,"1929-12-01",3
"A137","A130","Iris_virginica",2,48.540502,-64766512,NA,6.3,5.6,2.4,"1930-02-13",3.4
"A81","A61","Iris_versicolor",1,48.935966,-64840984,NA,5.5,3.8,1.1,"1929-12-01",2.4
"A31","A38","Iris_setosa",3,48.329837,-65512333,NA,4.8,1.6,0.2,"1929-12-01",3.1
"A134","A129","Iris_virginica",2,48.540502,-64766512,NA,6.3,5.1,1.5,"1930-02-13",2.8
"A113","A122","Iris_virginica",2,48.540502,-64766512,NA,6.8,5.5,2.1,"1930-02-13",3
"A40","A41","Iris_setosa",3,48.329837,-65512333,NA,5.1,1.5,0.2,"1929-12-01",3.4
"A96","A66","Iris_versicolor",1,48.935966,-64840984,NA,5.7,4.2,1.2,"1929-12-01",3
"A52","A84","Iris_versicolor",3,48.329837,-65512333,NA,6.4,4.5,1.5,"1929-12-01",3.2
"A109","A137","Iris_virginica",3,48.329837,-65512333,NA,6.7,5.8,1.8,"1929-12-01",2.5
"A85","A95","Iris_versicolor",3,48.329837,-65512333,NA,5.4,4.5,1.5,"1929-12-01",3
"A136","A146","Iris_virginica",3,48.329837,-65512333,NA,7.7,6.1,2.3,"1929-12-01",3
"A86","A79","Iris_versicolor",2,48.540502,-64766512,NA,6,4.5,1.6,"1930-02-13",3.4
"A89","A80","Iris_versicolor",2,48.540502,-64766512,NA,5.6,4.1,1.3,"1930-02-13",3
"A57","A53","Iris_versicolor",1,48.935966,-64840984,NA,6.3,4.7,1.6,"1929-12-01",3.3
"A12","A3","Iris_setosa",1,48.935966,-64.840984,4.7,3.2,1.3,0.2,"1929-12-01",NA
"A46","A4","Iris_setosa",3,48.329837,-65.512333,4.6,3.1,1.5,0.2,"1929-12-01",NA
"A47","A7","Iris_setosa",3,48.329837,-65.512333,4.6,3.4,1.4,0.3,"1929-12-01",NA
"A36","A25","Iris_setosa",3,48.329837,-65.512333,4.8,3.4,1.9,0.2,"1929-12-01",NA
"A4","A27","Iris_setosa",1,48.935966,-64.840984,5,3.4,1.6,0.4,"1929-12-01",NA
"A72","A65","Iris_setosa",2,48.540502,-64.766512,5.6,2.9,3.6,1.3,"1930-02-13",NA
"A58","A72","Iris_setosa",1,48.935966,-64.840984,6.1,2.8,4,1.3,"1929-12-01",NA
"A76","A77","Iris_setosa",2,48.540502,-64.766512,6.8,2.8,4.8,1.4,"1930-02-13",NA
"A60","A78","Iris_setosa",1,48.935966,-64.840984,6.7,3,5,1.7,"1929-12-01",NA
"A95","A85","Iris_setosa",3,48.329837,-65.512333,5.4,3,4.5,1.5,"1929-12-01",NA
"A119","A104","Iris_setosa",2,48.540502,-64.766512,6.3,2.9,5.6,1.8,"1930-02-13",NA
"A136","A106","Iris_setosa",3,48.329837,-65.512333,7.6,3,6.6,2.1,"1929-12-01",NA
"A104","A111","Iris_setosa",1,48.935966,-64.840984,6.5,3.2,5.1,2,"1929-12-01",NA
"A112","A135","Iris_setosa",1,48.935966,-64.840984,6.1,2.6,5.6,1.4,"1929-12-01",NA
"A147","A139","Iris_setosa",3,48.329837,-65.512333,6,3,4.8,1.8,"1929-12-01",NA
"A16","A15","Iris_setosa",1,48.935966,-64.840984,5.8,4,1.2,0.2,"1929-12-1",NA
"A2","A21","Iris_setosa",1,48.935966,-64.840984,5.4,3.4,1.7,0.2,"1929-12-1",NA
"A41","A40","Iris_setosa",3,48.329837,-65.512333,5.1,3.4,1.5,0.2,"1929-12-1",NA
"A44","A49","Iris_setosa",3,48.329837,-65.512333,5.3,3.7,1.5,0.2,"1929-12-1",NA
"A69","A56","Iris_versicolor",2,48.540502,-64.766512,5.7,2.8,4.5,1.3,"1930-2-13",NA
"A86","A58","Iris_versicolor",3,48.329837,-65.512333,4.9,2.4,3.3,1,"1929-12-1",NA
"A71","A62","Iris_versicolor",2,48.540502,-64.766512,5.9,3,4.2,1.5,"1930-2-13",NA
"A64","A90","Iris_versicolor",1,48.935966,-64.840984,5.5,2.5,4,1.3,"1929-12-1",NA
"A118","A101","Iris_virginica",2,48.540502,-64.766512,6.3,3.3,6,2.5,"1930-2-13",NA
"A120","A107","Iris_virginica",2,48.540502,-64.766512,4.9,2.5,4.5,1.7,"1930-2-13",NA
"A139","A115","Iris_virginica",3,48.329837,-65.512333,5.8,2.8,5.1,2.4,"1929-12-1",NA
"A123","A116","Iris_virginica",2,48.540502,-64.766512,6.4,3.2,5.3,2.3,"1930-2-13",NA
"A141","A121","Iris_virginica",3,48.329837,-65.512333,6.9,3.2,5.7,2.3,"1929-12-1",NA
"A143","A127","Iris_virginica",3,48.329837,-65.512333,6.2,2.8,4.8,1.8,"1929-12-1",NA
"A131","A140","Iris_virginica",2,48.540502,-64.766512,6.9,3.1,5.4,2.1,"1930-2-13",NA
"A2","A21","Iris_setosa",1,48.935966,-64.840984,5.4,3.4,1.7,0.2,"1929-12-01",NA
"A6","A33","Iris_setosa",1,48.935966,-64.840984,5.2,4.1,1.5,0.1,"1929-12-01",NA
"A8","A39","Iris_setosa",1,48.935966,-64.840984,4.4,3,1.3,0.2,"1929-12-01",NA
"A19","A23","Iris_setosa",2,48.540502,-64.766512,4.6,3.6,1,0.2,"1930-02-13",NA
"A28","A50","Iris_setosa",2,48.540502,-64.766512,5,3.3,1.4,0.2,"1930-02-13",NA
"A30","A5","Iris_setosa",2,48.540502,-64.766512,5,3.6,1.4,0.2,"1930-02-13",NA
"A35","A22","Iris_setosa",3,48.329837,-65.512333,5.1,3.7,1.5,0.4,"1929-12-01",NA
"A43","A46","Iris_setosa",3,48.329837,-65.512333,4.8,3,1.4,0.3,"1929-12-01",NA
"A74","A71","Iris_versicolor",2,48.540502,-64.766512,5.9,3.2,4.8,1.8,"1930-02-13",NA
"A94","A82","Iris_versicolor",3,48.329837,-65.512333,5.5,2.4,3.7,1,"1929-12-01",NA
"A99","A97","Iris_versicolor",3,48.329837,-65.512333,5.7,2.9,4.2,1.3,"1929-12-01",NA
"A119","A104","Iris_virginica",2,48.540502,-64.766512,6.3,2.9,5.6,1.8,"1930-02-13",NA
"A125","A122","Iris_virginica",2,48.540502,-64.766512,5.6,2.8,4.9,2,"1930-02-13",NA
"A126","A125","Iris_virginica",2,48.540502,-64.766512,6.7,3.3,5.7,2.1,"1930-02-13",NA
"A138","A112","Iris_virginica",3,48.329837,-65.512333,6.4,2.7,5.3,1.9,"1929-12-01",NA
"A38","A24","Iris_setosa",2,48.540502,-64.766512,4.9,3.6,1.4,0.1,"1930-02-13",NA
"A142","A148","Iris_virginica",3,48.329837,-65.512333,6.9,3.1,5.1,2.3,"1929-12-01",NA
"A59","A70","Iris_versicolor",2,48.540502,-64.766512,6.6,2.9,4.6,1.3,"1930-02-13",NA
"A15","A16","Iris_setosa",1,48.935966,-64.840984,5.8,4,1.2,0.2,"1929-12-01",NA
"A99","A67","Iris_versicolor",1,48.935966,-64.840984,5.1,2.5,3,1.1,"1929-12-01",NA
"A130","A144","Iris_virginica",3,48.329837,-65.512333,7.2,3,5.8,1.6,"1929-12-01",NA
"A76","A92","Iris_versicolor",3,48.329837,-65.512333,6.6,3,4.4,1.4,"1929-12-01",NA
"A123","A108","Iris_virginica",1,48.935966,-64.840984,7.7,2.8,6.7,2,"1929-12-01",NA
"A135","A112","Iris_virginica",1,48.935966,-64.840984,6.1,2.6,5.6,1.4,"1929-12-01",NA
"A92","A81","Iris_versicolor",2,48.540502,-64.766512,6.1,3,4.6,1.4,"1930-02-13",NA
"A51","A51","Iris_versicolor",1,48.935966,-64.840984,7,3.2,4.7,1.4,"1929-12-01",NA
"A74","A75","Iris_versicolor",2,48.540502,-64.766512,6.1,2.8,4.7,1.2,"1930-02-13",NA
"A11","A32","Iris_setosa",2,48.540502,-64.766512,5.4,3.7,1.5,0.2,"1930-02-13",NA
"A19","A34","Iris_setosa",3,48.329837,-65.512333,5.7,3.8,1.7,0.3,"1929-12-01",NA
"A54","A52","Iris_versicolor",1,48.935966,-64.840984,5.5,2.3,4,1.3,"1929-12-01",NA
"A1","A18","Iris_setosa",1,48.935966,-64.840984,5.1,3.5,1.4,0.3,"1929-12-01",NA
"A5","A30","Iris_setosa",1,48.935966,-64.840984,4.7,3.2,1.6,0.2,"1929-12-02",NA
"A9","A47","Iris_setosa",1,48.935966,-64.840984,4.5,2.3,1.3,0.3,"1929-12-02",NA
"A37","A28","Iris_setosa",1,48.935966,-64.840984,5.2,3.5,1.5,0.2,"1929-12-02",NA
"A59","A75","Iris_setosa",1,48.935966,-64.840984,6.4,2.9,4.3,1.3,"1929-12-02",NA
"A82","A95","Iris_setosa",2,48.540502,-64.766512,5.6,2.7,4.2,1.3,"1929-12-02",NA
"A88","A64","Iris_setosa",3,48.329837,-65.512333,6.1,2.9,4.7,1.4,"1929-12-02",NA
"A102","A105","Iris_setosa",1,48.935966,-64.840984,6.5,3,5.8,2.2,"1929-12-02",NA
"A105","A114","Iris_setosa",1,48.935966,-64.840984,5.7,2.5,5,2,"1929-12-02",NA
"A109","A126","Iris_setosa",1,48.935966,-64.840984,7.2,3.2,6,1.8,"1929-12-02",NA
"A113","A138","Iris_setosa",1,48.935966,-64.840984,6.4,3.1,5.5,1.8,"1929-12-02",NA
"A114","A141","Iris_setosa",1,48.935966,-64.840984,6.7,3.1,5.6,2.4,"1929-12-02",NA
"A117","A150","Iris_setosa",1,48.935966,-64.840984,5.9,3,5.1,1.8,"1929-12-02",NA
"A118","A101","Iris_setosa",2,48.540502,-64.766512,6.3,3.3,6,2.5,"1929-12-02",NA
"A133","A146","Iris_setosa",2,48.540502,-64.766512,6.7,3,5.2,2.3,"1929-12-02",NA
